"","MU","Mesocosm","Abundance","Biomass","Treatment","Nutrient","Concentration"
"62",21,9,8,1,"Algae","NH4",0.527
"63",21,9,8,1,"Algae","NH4",25.29
"64",22,10,8,1,"Algae","NH4",15.96
"65",22,10,8,1,"Algae","NH4",9.538
"66",22,10,8,1,"Algae","NH4",15.81
"67",23,11,12,1.5,"Algae","NH4",23.5
"68",23,11,12,1.5,"Algae","NH4",15.17
"69",23,11,12,1.5,"Algae","NH4",27.5
"70",24,12,16,2,"Algae","NH4",20.65
"71",24,12,16,2,"Algae","NH4",11.07
"72",24,12,16,2,"Algae","NH4",16.54
"73",25,1,0,0,"NoAlgae","PO3",0.122
"74",25,1,0,0,"NoAlgae","PO3",0.094
"75",25,1,0,0,"NoAlgae","PO3",0.1692
"76",26,2,4,0.5,"NoAlgae","PO3",0.5452
"77",26,2,4,0.5,"NoAlgae","PO3",0.3384
"78",26,2,4,0.5,"NoAlgae","PO3",1.2972
"79",27,3,8,1,"NoAlgae","PO3",0.9306
"80",27,3,8,1,"NoAlgae","PO3",0.8554
"81",27,3,8,1,"NoAlgae","PO3",0.9494
"82",28,4,8,1,"NoAlgae","PO3",1.3254
"83",28,4,8,1,"NoAlgae","PO3",0.4324
"84",28,4,8,1,"NoAlgae","PO3",0.6804
"85",29,5,12,1.5,"NoAlgae","PO3",0.6862
"86",29,5,12,1.5,"NoAlgae","PO3",0.4606
"87",29,5,12,1.5,"NoAlgae","PO3",0.8178
"88",30,6,16,2,"NoAlgae","PO3",0.675
"89",30,6,16,2,"NoAlgae","PO3",0.4042
"90",30,6,16,2,"NoAlgae","PO3",1.3724
"91",31,7,0,0,"Algae","PO3",3.0456
"92",31,7,0,0,"Algae","PO3",1.5886
"93",31,7,0,0,"Algae","PO3",1.7014
"94",32,8,4,0.5,"Algae","PO3",2.8512
"95",32,8,4,0.5,"Algae","PO3",1.1844
"96",32,8,4,0.5,"Algae","PO3",2.8782
"97",33,9,8,1,"Algae","PO3",3.6774
"98",33,9,8,1,"Algae","PO3",0.7802
"99",33,9,8,1,"Algae","PO3",4.2112
"100",34,10,8,1,"Algae","PO3",1.6092
"101",34,10,8,1,"Algae","PO3",2.9798
"102",34,10,8,1,"Algae","PO3",1.9646
"103",35,11,12,1.5,"Algae","PO3",2.2248
"104",35,11,12,1.5,"Algae","PO3",2.0774
"105",35,11,12,1.5,"Algae","PO3",3.4968
"106",36,12,16,2,"Algae","PO3",2.9516
"107",36,12,16,2,"Algae","PO3",1.9458
"108",36,12,16,2,"Algae","PO3",2.3922
