"x" "y" "PM10" "Area"
"60" 516508.701 5031758.072 29.87 0
"61" 512450.73 5033613.145 29.83 0
"62" 513494.209 5031410.246 29.96 0
"63" 511059.426 5030134.884 29.78 0
"64" 517204.354 5030946.478 29.97 0
"65" 518131.89 5037439.232 29.24 0
"66" 517668.122 5033845.029 29.85 0
"67" 515001.455 5035004.449 30.1 0
"68" 511986.962 5032453.725 29.66 0
"69" 518131.89 5033265.319 30.19 0
"70" 512102.904 5030946.478 29.68 0
"71" 514769.571 5036047.928 30.16 0
"72" 512798.557 5034424.739 29.91 0
"73" 514653.629 5031062.42 29.69 0
"74" 514421.745 5035816.043 30.36 0
"75" 511639.136 5035700.101 30.06 0
"76" 514189.861 5036163.87 30.14 0
"77" 516160.875 5031758.072 30.1 0
"78" 518595.658 5035120.391 106.59 2
"79" 516740.586 5030830.536 30.2 0
"80" 517320.296 5030830.536 29.92 0
"81" 516624.643 5032917.493 29.81 0
"82" 514073.919 5032569.667 30 0
"83" 515117.397 5030018.942 30.03 0
"84" 515928.991 5031526.188 30.19 0
"85" 517552.18 5034772.565 29.92 0
"86" 518247.832 5031062.42 30.11 0
"87" 515001.455 5037439.232 29.78 0
"88" 515349.281 5031989.957 30.19 0
"89" 517436.238 5037787.058 29.63 0
"90" 512682.614 5037671.116 68.29 1
"91" 513494.209 5031758.072 29.93 0
"92" 518711.6 5035120.391 106.63 2
"93" 511871.02 5031178.362 29.69 0
"94" 512334.788 5030714.594 29.91 0
"95" 512566.672 5036975.464 30.15 0
"96" 511291.31 5036627.638 30.35 0
"97" 515813.049 5035004.449 29.87 0
"98" 515117.397 5031874.014 30.16 0
"99" 512682.614 5036511.696 30.07 0
"100" 510827.542 5037787.058 30.2 0
"101" 518595.658 5033381.261 30.36 0
"102" 513726.093 5034540.681 30.32 0
"103" 517784.064 5037903 29.52 0
"104" 514653.629 5030366.768 30.02 0
"105" 514189.861 5034308.797 30.34 0
"106" 514537.687 5030482.71 30.09 0
"107" 513726.093 5037323.29 30.06 0
"108" 514653.629 5031410.246 29.63 0
"109" 515233.339 5029903 30.04 0
"110" 510711.6 5030946.478 29.76 0
"111" 517204.354 5033729.087 29.65 0
"112" 515813.049 5033729.087 29.83 0
"113" 514305.803 5036859.522 29.78 0
"114" 517668.122 5030366.768 30.18 0
"115" 511986.962 5030250.826 29.95 0
"116" 516972.47 5037207.348 30 0
"117" 518015.948 5032801.551 30.33 0
"118" 515349.281 5036859.522 29.8 0
"119" 513262.325 5035468.217 30.38 0
"120" 516160.875 5034888.507 29.68 0
"121" 515001.455 5030482.71 30.1 0
"122" 515349.281 5030482.71 30.35 0
"123" 512682.614 5033497.203 30 0
"124" 511871.02 5035236.333 29.79 0
"125" 510711.6 5034192.855 30.11 0
"126" 517320.296 5030134.884 30.13 0
"127" 514305.803 5033613.145 29.93 0
"128" 516276.817 5034772.565 29.8 0
"129" 512566.672 5031989.957 29.66 0
"130" 513378.267 5035700.101 30.02 0
"131" 515001.455 5036511.696 30.09 0
"132" 514537.687 5032221.841 30.02 0
"133" 515233.339 5034888.507 29.79 0
"134" 512798.557 5032917.493 30.04 0
"135" 517088.412 5036047.928 29.86 0
"136" 514189.861 5034424.739 106.46 2
"137" 516624.643 5036627.638 29.88 0
"138" 514537.687 5035352.275 106.48 2
"139" 515349.281 5037671.116 30.04 0
"140" 510943.484 5031178.362 29.79 0
"141" 515581.165 5033033.435 29.89 0
"142" 513957.977 5030946.478 29.98 0
"143" 515117.397 5030830.536 30.09 0
"144" 518247.832 5035352.275 106.68 2
"145" 518131.89 5031526.188 29.91 0
"146" 516508.701 5033845.029 29.86 0
"147" 517668.122 5036047.928 30.19 0
"148" 516044.933 5035816.043 29.76 0
"149" 510711.6 5032801.551 29.76 0
"150" 511986.962 5033497.203 29.88 0
"151" 512566.672 5033960.971 29.89 0
"152" 510711.6 5031410.246 29.91 0
"153" 516856.528 5034424.739 30.1 0
"154" 514073.919 5030482.71 30.3 0
"155" 513030.441 5033033.435 30.09 0
"156" 514189.861 5032917.493 29.9 0
"157" 511871.02 5033960.971 29.88 0
"158" 512682.614 5030598.652 30.15 0
"159" 515581.165 5033381.261 29.89 0
"160" 517784.064 5033033.435 30.19 0
"161" 516276.817 5036511.696 29.91 0
"162" 516276.817 5036743.58 30.08 0
"163" 513262.325 5030134.884 106.46 2
"164" 513726.093 5030830.536 30.07 0
"165" 511755.078 5035468.217 30 0
"166" 515233.339 5034656.623 29.71 0
"167" 514305.803 5031874.014 29.66 0
"168" 515233.339 5034308.797 29.66 0
"169" 515928.991 5037671.116 30.32 0
"170" 514885.513 5035700.101 68.26 1
"171" 516160.875 5037439.232 68.25 1
"172" 518247.832 5032917.493 30.38 0
"173" 515349.281 5032801.551 29.96 0
"174" 514653.629 5037555.174 29.8 0
"175" 512450.73 5031642.13 29.41 0
"176" 512450.73 5033729.087 29.71 0
"177" 518247.832 5030366.768 30 0
"178" 510827.542 5033960.971 30.18 0
"179" 516740.586 5037323.29 29.9 0
"180" 515928.991 5037207.348 30.2 0
