"","Specimen","YEAR","MONTH","DML","Testisweight"
"83",1008,1991,10,134,0.315
"84",1034,1990,8,246,0.33
"85",1021,1990,9,180,0.33
"86",1048,1990,7,214,0.337
"87",1010,1990,8,199,0.344
"88",1004,1990,8,219,0.37
"89",1046,1990,7,247,0.373
"90",1007,1990,9,165,0.379
"91",1026,1991,10,170,0.379
"92",1016,1991,10,188,0.379
"93",1049,1990,8,217,0.385
"94",1020,1991,10,187,0.385
"95",1052,1990,9,225,0.388
"96",1010,1991,10,191,0.395
"97",1049,1990,7,211,0.412
"98",1023,1991,10,170,0.414
"99",1033,1990,8,251,0.418
"100",1073,1990,11,190,0.426
"101",1046,1991,9,200,0.426
"102",1081,1990,7,226,0.43
"103",1005,1990,9,196,0.43
"104",1029,1991,10,267,0.434
"105",1050,1991,9,207,0.442
"106",1038,1990,8,270,0.443
"107",1052,1991,9,210,0.444
"108",1060,1990,8,249,0.445
"109",1017,1990,7,232,0.453
"110",1025,1990,8,252,0.455
"111",1032,1991,6,242,0.467
"112",1010,1990,8,258,0.472
"113",1003,1990,9,185,0.482
"114",1114,1990,7,146,0.497
"115",1012,1990,10,160,0.501
"116",1035,1990,8,265,0.503
"117",1055,1990,9,250,0.508
"118",1021,1991,10,247,0.514
"119",1049,1991,9,225,0.517
"120",1008,1991,7,246,0.525
"121",1021,1991,10,163,0.531
"122",1015,1990,12,151,0.533
"123",1013,1991,10,107,0.538
"124",1035,1990,7,151,0.551
"125",1044,1990,8,253,0.556
"126",1057,1990,8,230,0.558
"127",1019,1990,10,185,0.566
"128",1012,1991,10,229,0.566
"129",1009,1990,8,257,0.586
"130",1002,1990,8,250,0.594
"131",1022,1990,8,212,0.603
"132",1033,1991,6,262,0.603
"133",1054,1990,8,240,0.606
"134",1001,1991,10,167,0.611
"135",1029,1990,7,152,0.618
"136",1028,1990,8,266,0.627
"137",1021,1990,8,266,0.632
"138",1005,1990,8,258,0.634
"139",1032,1990,8,261,0.638
"140",1063,1990,9,232,0.645
"141",1056,1990,8,265,0.646
"142",1042,1991,9,133,0.654
"143",1003,1990,8,235,0.663
"144",1012,1990,10,175,0.69
"145",1065,1990,9,273,0.704
"146",1037,1991,9,233,0.705
"147",1017,1990,8,238,0.707
"148",1052,1990,11,130,0.726
"149",1025,1991,10,175,0.737
"150",1055,1990,8,287,0.745
"151",1029,1990,9,140,0.758
"152",1028,1991,10,138,0.777
"153",1024,1991,10,166,0.782
"154",1028,1990,9,204,0.785
"155",1013,1990,10,175,0.786
"156",1023,1991,10,273,0.801
"157",1022,1990,9,190,0.812
"158",1002,1990,8,220,0.824
"159",1021,1991,10,160,0.828
"160",1018,1990,8,270,0.835
"161",1039,1990,8,268,0.85
"162",1047,1990,7,245,0.862
"163",1017,1990,8,250,0.875
"164",1016,1990,12,198,0.963
"165",1015,1991,10,279,0.983
"166",1020,1990,11,186,1.006
"167",1009,1990,9,279,1.041
"168",1041,1990,9,265,1.051
"169",1019,1991,6,225,1.072
"170",1010,1991,10,120,1.072
"171",1015,1991,10,120,1.077
"172",1104,1990,7,261,1.117
"173",1007,1991,9,244,1.13
"174",1030,1991,10,136,1.133
"175",1012,1991,4,173,1.159
"176",1031,1991,6,254,1.164
"177",1021,1991,2,138,1.173
"178",1016,1991,10,127,1.175
"179",1024,1990,11,214,1.194
"180",1016,1990,8,261,1.196
"181",1003,1990,10,296,1.213
"182",1004,1990,8,272,1.218
"183",1010,1990,9,219,1.218
"184",1035,1990,9,291,1.241
"185",1035,1991,4,390,1.247
"186",1009,1990,10,210,1.275
"187",1014,1991,10,122,1.318
"188",1018,1990,10,208,1.322
"189",1013,1990,8,303,1.331
"190",1010,1991,5,180,1.386
"191",1069,1990,11,169,1.412
"192",1028,1991,10,282,1.415
"193",1006,1990,9,218,1.421
"194",1020,1990,9,320,1.463
"195",1053,1991,9,260,1.466
"196",1010,1989,12,149,1.47
"197",1030,1991,10,154,1.473
"198",1007,1990,8,293,1.518
"199",1066,1990,9,279,1.52
"200",1013,1990,9,213,1.536
"201",1001,1990,10,282,1.56
"202",1006,1991,10,182,1.564
"203",1022,1991,10,164,1.579
"204",1013,1991,5,193,1.614
"205",1016,1990,9,274,1.653
"206",1024,1991,10,163,1.682
"207",1057,1990,11,176,1.686
"208",1035,1990,11,180,1.686
"209",1002,1991,7,206,1.714
"210",1055,1990,7,179,1.715
"211",1027,1991,10,258,1.717
"212",1039,1990,11,202,1.722
"213",1027,1990,11,192,1.726
"214",1002,1991,5,139,1.758
"215",1004,1990,9,306,1.764
"216",1025,1991,10,167,1.778
"217",1013,1991,10,258,1.785
"218",1011,1991,4,162,1.831
"219",1017,1991,5,195,1.847
"220",1058,1990,11,220,1.849
"221",1019,1991,4,213,1.858
"222",1035,1991,9,270,1.859
"223",1005,1991,10,190,1.866
"224",1004,1990,11,208,1.906
"225",1013,1991,4,178,1.93
"226",1029,1991,10,177,1.934
"227",1025,1990,11,164,1.968
"228",1002,1990,3,245,1.975
"229",1058,1990,7,310,1.983
"230",1001,1991,9,261,2.012
"231",1030,1991,10,250,2.016
"232",1003,1991,5,158,2.02
"233",1029,1990,9,290,2.022
"234",1001,1989,12,139,2.027
"235",1002,1990,3,149,2.059
"236",1017,1991,10,135,2.061
"237",1045,1990,11,205,2.068
"238",1027,1991,10,159,2.078
"239",1012,1991,10,138,2.082
"240",1052,1990,8,259,2.09
"241",1023,1991,4,224,2.098
"242",1018,1991,5,224,2.11
"243",1012,1990,12,132,2.125
"244",1048,1991,9,212,2.133
"245",1024,1990,10,208,2.151
"246",1047,1990,11,150,2.155
"247",1009,1991,10,192,2.158
"248",1006,1990,3,185,2.176
"249",1004,1991,4,141,2.18
"250",1053,1990,8,193,2.186
"251",1004,1991,10,197,2.191
"252",1037,1990,8,313,2.223
"253",1026,1990,11,153,2.235
"254",1064,1991,4,197,2.252
"255",1026,1991,10,169,2.265
"256",1003,1991,10,204,2.305
"257",1005,1991,4,145,2.306
"258",1033,1991,5,434,2.309
"259",1010,1991,10,308,2.309
"260",1019,1990,8,298,2.31
"261",1006,1990,10,216,2.319
"262",1001,1990,9,267,2.334
"263",1012,1991,5,195,2.339
"264",1031,1990,8,261,2.348
"265",1054,1990,11,193,2.348
"266",1051,1990,11,150,2.373
"267",1016,1991,3,203,2.384
"268",1030,1990,12,150,2.399
"269",1007,1990,3,258,2.436
"270",1022,1991,10,146,2.436
"271",1018,1991,4,213,2.465
"272",1025,1991,5,317,2.468
"273",1033,1990,11,284,2.5
"274",1005,1991,5,170,2.502
"275",1004,1991,2,189,2.515
"276",1005,1990,9,245,2.531
"277",1015,1991,2,186,2.533
"278",1004,1990,10,224,2.552
"279",1024,1991,2,190,2.582
"280",1018,1991,10,260,2.596
"281",1008,1991,4,177,2.626
"282",1014,1991,5,192,2.628
"283",1028,1991,3,300,2.663
"284",1006,1991,5,152,2.67
"285",1002,1991,10,203,2.698
"286",1020,1991,4,206,2.719
"287",1057,1990,9,347,2.72
"288",1014,1991,2,179,2.721
"289",1004,1990,9,215,2.735
"290",1004,1991,7,387,2.752
"291",1026,1991,2,186,2.757
"292",1005,1990,3,172,2.758
"293",1018,1990,9,280,2.76
"294",1077,1990,11,163,2.762
"295",1015,1991,4,189,2.773
"296",1003,1991,10,163,2.779
"297",1012,1991,2,198,2.794
"298",1079,1990,11,162,2.823
"299",1030,1991,5,375,2.825
"300",1004,1991,3,140,2.853
"301",1004,1990,3,214,2.854
"302",1064,1990,9,271,2.873
"303",1010,1991,2,180,2.884
"304",1055,1991,9,265,2.9
"305",1008,1991,3,238,2.912
"306",1022,1991,5,285,2.917
"307",1020,1991,6,205,2.92
"308",1020,1991,10,140,2.925
"309",1008,1990,10,264,2.97
"310",1021,1991,4,208,2.994
"311",1006,1991,2,197,3.005
"312",1032,1990,11,160,3.05
"313",1008,1990,9,183,3.069
"314",1002,1991,10,182,3.077
"315",1007,1991,4,170,3.079
"316",1060,1991,2,143,3.081
"317",1021,1990,12,153,3.1
"318",1021,1990,11,217,3.101
"319",1005,1990,10,180,3.11
"320",1046,1990,11,164,3.124
"321",1001,1991,9,270,3.155
"322",1020,1991,2,154,3.158
"323",1014,1990,12,175,3.172
"324",1004,1990,3,173,3.173
"325",1049,1990,11,166,3.18
"326",1054,1991,9,248,3.181
"327",1001,1991,9,259,3.188
"328",1017,1991,10,189,3.2
"329",1013,1991,10,196,3.202
"330",1035,1991,5,398,3.211
"331",1075,1990,11,166,3.248
"332",1032,1990,12,166,3.248
"333",1060,1990,9,299,3.258
"334",1072,1990,11,205,3.267
"335",1027,1991,10,168,3.288
"336",1013,1991,2,164,3.296
"337",1064,1990,11,212,3.3
"338",1071,1990,11,159,3.31
"339",1006,1989,12,240,3.316
"340",1019,1991,2,167,3.317
"341",1011,1991,2,199,3.345
"342",1016,1991,5,215,3.35
"343",1018,1991,10,198,3.368
"344",1002,1991,2,178,3.377
"345",1043,1990,9,322,3.397
"346",1019,1991,5,255,3.419
"347",1018,1991,2,158,3.423
"348",1003,1990,8,308,3.429
"349",1028,1991,5,340,3.45
"350",1025,1991,10,269,3.488
"351",1035,1990,12,165,3.497
"352",1002,1990,4,240,3.5
"353",1021,1991,5,264,3.506
"354",1001,1990,3,431,3.516
"355",1004,1991,5,150,3.551
"356",1006,1991,9,268,3.552
"357",1027,1991,3,347,3.562
"358",1058,1991,2,164,3.57
"359",1012,1991,3,224,3.579
"360",1011,1991,5,166,3.602
"361",1003,1990,10,208,3.603
"362",1004,1990,3,187,3.606
"363",1067,1990,11,231,3.606
"364",1001,1990,3,182,3.618
"365",1034,1990,12,151,3.618
"366",1018,1990,11,167,3.62
"367",1024,1991,5,307,3.632
"368",1022,1991,4,168,3.644
"369",1017,1990,11,198,3.654
"370",1009,1991,4,181,3.658
"371",1019,1989,12,177,3.676
"372",1059,1991,2,150,3.699
"373",1023,1991,6,209,3.717
"374",1009,1990,12,169,3.749
"375",1034,1991,9,215,3.758
"376",1011,1991,1,182,3.769
"377",1006,1991,4,152,3.793
"378",1001,1990,3,166,3.798
"379",1001,1990,4,316,3.8
"380",1008,1991,10,205,3.835
"381",1002,1990,9,330,3.843
"382",1014,1991,4,192,3.852
"383",1005,1991,2,156,3.864
"384",1006,1991,10,221,3.865
"385",1028,1991,10,179,3.866
"386",1015,1989,12,200,3.893
"387",1009,1990,3,265,3.915
"388",1016,1991,2,180,3.929
"389",1002,1990,3,279,3.943
"390",1008,1990,9,186,3.958
"391",1025,1990,9,200,3.964
"392",1019,1990,12,163,3.981
"393",1056,1991,9,255,3.986
"394",1008,1991,5,170,3.999
"395",1038,1990,11,180,4.004
"396",1055,1990,11,192,4.009
"397",1021,1991,3,210,4.011
"398",1007,1990,9,188,4.014
"399",1001,1990,11,185,4.032
"400",1022,1989,12,194,4.039
"401",1008,1991,1,191,4.069
"402",1032,1991,5,405,4.086
"403",1014,1990,11,197,4.103
"404",1031,1990,12,150,4.131
"405",1073,1990,9,210,4.144
"406",1001,1990,3,239,4.235
"407",1021,1989,12,180,4.24
"408",1001,1990,3,205,4.248
"409",1046,1990,11,230,4.263
"410",1060,1990,11,190,4.291
"411",1025,1991,3,220,4.325
"412",1025,1991,4,218,4.341
"413",1066,1990,11,198,4.348
"414",1006,1990,9,230,4.351
"415",1002,1990,10,209,4.353
"416",1001,1991,10,199,4.353
"417",1005,1990,10,195,4.359
"418",1078,1990,11,183,4.399
"419",1002,1990,4,330,4.4
"420",1029,1990,12,195,4.417
"421",1028,1990,12,200,4.441
"422",1030,1990,11,248,4.455
"423",1061,1990,11,225,4.48
"424",1014,1990,11,194,4.488
"425",1011,1991,10,189,4.489
"426",1001,1990,3,342,4.501
"427",1010,1991,3,225,4.504
"428",1004,1990,11,254,4.523
"429",1024,1991,4,226,4.529
"430",1005,1990,3,216,4.532
"431",1017,1991,3,241,4.567
"432",1022,1990,12,197,4.572
"433",1006,1990,12,212,4.584
"434",1011,1990,12,199,4.586
"435",1017,1990,12,178,4.598
"436",1034,1991,5,413,4.6
"437",1080,1990,11,185,4.602
"438",1011,1991,3,364,4.632
"439",1016,1990,9,231,4.633
"440",1008,1991,2,165,4.636
"441",1009,1991,3,236,4.639
"442",1003,1990,3,277,4.64
"443",1065,1990,11,188,4.66
"444",1014,1991,10,187,4.701
"445",1024,1991,3,306,4.709
"446",1033,1990,12,191,4.716
"447",1003,1991,3,211,4.717
"448",1020,1990,11,180,4.727
"449",1141,1990,11,183,4.751
"450",1026,1991,3,319,4.771
"451",1001,1990,8,283,4.794
"452",1016,1989,12,212,4.813
"453",1009,1990,3,208,4.825
"454",1014,1991,10,278,4.833
"455",1005,1990,3,260,4.86
"456",1050,1990,11,195,4.874
"457",1003,1990,9,350,4.888
"458",1078,1991,2,233,4.891
"459",1026,1991,5,321,4.902
"460",1001,1990,3,179,4.923
"461",1023,1990,12,183,4.957
"462",1047,1990,9,392,4.959
"463",1005,1991,9,288,4.962
"464",1029,1990,11,229,5.001
"465",1011,1991,10,196,5.008
"466",1004,1991,10,210,5.061
"467",1007,1990,9,210,5.085
"468",1004,1990,3,264,5.088
"469",1001,1991,2,258,5.095
"470",1017,1990,9,256,5.103
"471",1027,1991,4,214,5.112
"472",1028,1991,4,242,5.127
"473",1005,1990,9,214,5.129
"474",1028,1990,11,205,5.146
"475",1002,1990,12,310,5.149
"476",1003,1990,11,209,5.152
"477",1020,1991,3,287,5.156
"478",1026,1991,4,238,5.166
"479",1008,1990,11,237,5.167
"480",1007,1991,2,219,5.169
"481",1024,1990,9,341,5.189
"482",1027,1991,6,238,5.199
"483",1003,1990,1,202,5.2
"484",1004,1990,10,250,5.222
"485",1001,1991,9,272,5.233
"486",1023,1991,2,197,5.238
"487",1020,1991,10,272,5.24
"488",1014,1991,3,220,5.246
"489",1029,1991,5,328,5.246
"490",1021,1990,11,232,5.248
"491",1031,1991,5,381,5.285
"492",1029,1991,3,373,5.298
"493",1025,1990,9,277,5.32
"494",1009,1991,5,186,5.322
"495",1005,1990,3,277,5.347
"496",1010,1990,11,219,5.358
"497",1055,1990,11,207,5.386
"498",1016,1990,11,189,5.388
"499",1026,1990,11,198,5.407
"500",1027,1990,12,212,5.416
"501",1026,1990,10,288,5.425
"502",1003,1991,9,233,5.468
"503",1024,1990,12,192,5.496
"504",1044,1990,9,250,5.569
"505",1029,1991,4,270,5.616
"506",1004,1991,9,287,5.618
"507",1050,1990,9,357,5.782
"508",1001,1990,6,368,5.8
"509",1002,1990,3,214,5.81
"510",1011,1990,11,233,5.837
"511",1002,1990,6,340,5.867
"512",1039,1991,9,288,5.869
"513",1025,1990,10,249,5.885
"514",1006,1990,11,247,5.891
"515",1023,1991,5,295,5.95
"516",1037,1990,11,224,5.963
"517",1032,1991,4,336,5.963
"518",1011,1990,9,322,5.98
"519",1029,1990,11,227,6.042
"520",1015,1990,9,300,6.074
"521",1030,1991,4,325,6.127
"522",1004,1990,3,376,6.13
"523",1003,1990,4,340,6.153
"524",1022,1991,3,331,6.162
"525",1002,1990,4,325,6.165
"526",1056,1990,11,218,6.219
"527",1006,1991,3,335,6.272
"528",1007,1991,3,335,6.309
"529",1004,1990,9,315,6.32
"530",1008,1991,10,309,6.321
"531",1033,1991,4,358,6.344
"532",1006,1990,3,360,6.43
"533",1045,1990,7,375,6.439
"534",1001,1990,4,362,6.499
"535",1003,1990,6,321,6.534
"536",1002,1990,1,330,6.553
"537",1048,1990,11,293,6.6
"538",1007,1990,9,205,6.602
"539",1001,1991,3,287,6.603
"540",1019,1991,3,331,6.701
"541",1027,1991,5,339,6.765
"542",1008,1990,3,365,6.784
"543",1036,1991,9,319,6.801
"544",1007,1990,3,248,6.828
"545",1003,1990,3,328,6.848
"546",1017,1991,10,286,6.864
"547",1005,1991,6,353,6.885
"548",1004,1990,4,300,6.913
"549",1020,1991,5,251,6.926
"550",1004,1991,6,370,6.954
"551",1023,1991,3,326,6.991
"552",1006,1991,6,355,7.026
"553",1011,1990,8,305,7.031
"554",1003,1991,9,282,7.095
"555",1001,1990,1,540,7.107
"556",1015,1991,3,335,7.145
"557",1014,1990,10,272,7.169
"558",1003,1991,7,301,7.178
"559",1001,1990,4,299,7.2
"560",1007,1991,10,221,7.221
"561",1006,1990,10,265,7.228
"562",1002,1991,9,307,7.26
"563",1012,1990,8,333,7.27
"564",1077,1991,2,235,7.271
"565",1016,1991,10,304,7.337
"566",1022,1991,2,288,7.345
"567",1007,1990,12,262,7.392
"568",1005,1991,3,320,7.393
"569",1002,1991,3,242,7.41
"570",1030,1991,6,240,7.446
"571",1003,1990,10,266,7.468
"572",1010,1990,10,236,7.521
"573",1030,1991,3,340,7.533
"574",1005,1990,12,258,7.539
"575",1058,1990,9,374,7.564
"576",1006,1990,3,263,7.59
"577",1049,1990,11,235,7.608
"578",1007,1990,11,280,7.697
"579",1005,1991,10,260,7.702
"580",1022,1991,1,300,7.737
"581",1003,1990,11,238,7.793
"582",1029,1991,1,320,7.826
"583",1037,1990,9,346,7.858
"584",1008,1990,10,263,7.868
"585",1001,1990,4,301,8
"586",1002,1990,4,284,8
"587",1031,1991,4,327,8.006
"588",1093,1990,7,357,8.038
"589",1025,1991,6,230,8.041
"590",1002,1991,3,356,8.042
"591",1025,1990,11,245,8.054
"592",1001,1991,3,265,8.069
"593",1001,1990,3,263,8.07
"594",1001,1990,10,267,8.123
"595",1002,1990,5,312,8.266
"596",1026,1991,10,268,8.278
"597",1037,1990,9,300,8.294
"598",1007,1991,10,310,8.38
"599",1009,1991,10,309,8.407
"600",1022,1991,10,285,8.445
"601",1006,1990,11,262,8.45
"602",1001,1991,9,308,8.525
"603",1035,1991,6,299,8.529
"604",1013,1991,3,372,8.543
"605",1038,1991,9,273,8.581
"606",1010,1990,12,250,8.583
"607",1004,1990,5,348,8.607
"608",1004,1990,4,376,8.7
"609",1004,1990,11,269,8.711
"610",1003,1991,6,326,8.719
"611",1003,1990,11,284,8.751
"612",1001,1990,10,237,8.817
"613",1005,1990,2,296,8.84
"614",1017,1990,11,268,8.934
"615",1006,1990,4,402,9
"616",1013,1990,3,330,9.004
"617",1018,1990,12,245,9.064
"618",1005,1990,9,348,9.132
"619",1019,1991,1,312,9.149
"620",1031,1991,1,307,9.195
"621",1003,1990,4,354,9.2
"622",1018,1991,1,296,9.204
"623",1034,1991,4,392,9.22
"624",1003,1990,3,337,9.255
"625",1034,1991,6,280,9.282
"626",1003,1990,9,265,9.287
"627",1001,1991,2,313,9.314
"628",1011,1990,3,413,9.34
"629",1010,1991,1,359,9.382
"630",1005,1990,4,273,9.4
"631",1026,1990,9,324,9.4
"632",1003,1991,1,399,9.431
"633",1016,1990,11,270,9.447
"634",1003,1990,3,262,9.488
"635",1007,1991,1,301,9.544
"636",1010,1991,1,273,9.712
"637",1002,1990,3,226,9.782
"638",1009,1991,2,318,9.788
"639",1005,1991,10,299,9.794
"640",1002,1991,2,372,9.826
"641",1004,1990,12,248,9.876
"642",1051,1991,9,337,9.911
"643",1001,1990,3,325,9.921
"644",1010,1991,1,279,9.972
"645",1009,1991,1,301,10.017
"646",1005,1991,10,370,10.068
"647",1015,1991,1,320,10.084
"648",1006,1990,11,297,10.139
"649",1004,1990,12,271,10.183
"650",1027,1990,9,410,10.225
"651",1006,1990,1,428,10.257
"652",1017,1991,1,288,10.277
"653",1001,1990,3,310,10.29
"654",1046,1990,9,284,10.338
"655",1012,1991,1,335,10.483
"656",1016,1990,9,288,10.505
"657",1006,1990,1,294,10.522
"658",1016,1990,11,266,10.55
"659",1035,1991,1,334,10.661
"660",1025,1991,1,417,10.7
"661",1005,1990,5,332,10.847
"662",1023,1991,1,325,10.944
"663",1004,1990,1,460,11.115
"664",1002,1991,1,280,11.141
"665",1040,1990,11,285,11.192
"666",1018,1990,11,330,11.241
"667",1005,1991,7,383,11.269
"668",1054,1990,11,307,11.275
"669",1002,1990,9,329,11.378
"670",1058,1990,11,276,11.392
"671",1008,1990,3,365,11.42
"672",1003,1991,2,275,11.432
"673",1030,1990,9,355,11.492
"674",1008,1991,1,329,11.493
"675",1021,1991,1,369,11.493
"676",1002,1990,1,370,11.545
"677",1009,1991,10,347,11.576
"678",1002,1991,1,327,11.615
"679",1006,1991,10,348,11.711
"680",1024,1991,1,311,11.712
"681",1006,1991,1,417,11.742
"682",1032,1991,1,323,11.769
"683",1003,1990,12,306,11.89
"684",1003,1991,1,305,11.896
"685",1006,1990,12,291,11.955
"686",1007,1990,12,298,11.959
"687",1003,1990,12,275,12.039
"688",1002,1990,3,290,12.041
"689",1001,1990,11,304,12.051
"690",1034,1991,1,320,12.07
"691",1042,1990,11,271,12.171
"692",1001,1990,9,370,12.186
"693",1002,1991,9,323,12.337
"694",1002,1990,12,326,12.34
"695",1001,1990,1,321,12.379
"696",1002,1991,9,302,12.442
"697",1016,1991,1,318,12.475
"698",1005,1990,11,297,12.529
"699",1036,1991,1,314,12.571
"700",1050,1990,11,302,12.581
"701",1003,1991,10,325,12.668
"702",1024,1991,1,410,12.697
"703",1028,1990,9,395,12.711
"704",1001,1990,12,346,12.722
"705",1047,1990,11,308,12.772
"706",1023,1991,1,365,12.915
"707",1027,1991,1,311,12.953
"708",1020,1990,12,301,13.005
"709",1018,1991,3,319,13.028
"710",1045,1990,9,306,13.179
"711",1006,1991,10,300,13.427
"712",1020,1991,1,362,13.591
"713",1001,1991,2,452,13.633
"714",1002,1990,11,310,13.871
"715",1001,1990,3,306,14.07
"716",1008,1991,10,331,14.099
"717",1043,1990,9,312,14.205
"718",1046,1990,9,425,14.292
"719",1031,1990,9,322,14.298
"720",1001,1991,10,387,14.333
"721",1034,1990,9,357,14.384
"722",1002,1991,10,388,14.616
"723",1002,1990,9,341,14.665
"724",1002,1990,3,528,14.826
"725",1011,1991,1,360,14.914
"726",1007,1990,1,449,14.981
"727",1004,1991,10,319,15.085
"728",1001,1990,9,384,15.125
"729",1048,1990,9,406,15.135
"730",1001,1991,10,364,15.171
"731",1032,1990,9,335,15.947
"732",1034,1990,9,400,16.034
"733",1012,1990,3,394,16.24
"734",1029,1990,9,319,16.282
"735",1042,1990,9,312,16.392
"736",1003,1990,9,392,16.411
"737",1030,1990,9,342,16.486
"738",1003,1991,10,364,16.583
"739",1012,1990,9,390,16.912
"740",1039,1990,9,368,16.961
"741",1049,1990,9,388,17.055
"742",1011,1991,10,454,17.147
"743",1007,1991,10,341,17.198
"744",1002,1991,10,359,17.418
"745",1019,1990,10,384,17.488
"746",1001,1990,9,439,18.183
"747",1038,1990,9,380,18.48
"748",1010,1991,10,415,18.483
"749",1019,1991,10,435,18.83
"750",1016,1991,10,487,18.847
"751",1040,1990,9,375,19.176
"752",1004,1991,10,385,19.378
"753",1035,1990,9,410,19.88
"754",1017,1990,9,425,20.125
"755",1001,1990,12,481,20.34
"756",1001,1990,9,408,20.422
"757",1013,1991,10,458,21.227
"758",1017,1990,11,410,21.412
"759",1014,1991,10,495,21.939
"760",1022,1991,10,541,22.133
"761",1012,1991,10,488,22.415
"762",1019,1990,11,399,22.468
"763",1017,1991,10,488,22.874
"764",1021,1991,10,483,23.162
"765",1018,1991,10,538,24.195
"766",1015,1991,10,420,24.292
"767",1020,1991,10,543,24.746
"768",1002,1991,9,508,37.811
