"store_id" "metro_area" "size" "quarter" "satisfaction" "sales" "sales0"
"5" 0 265.071477104682 3 1 508.013444013104 112
"6" 0 327.271683719425 3 1 599.663479460759 86
"7" 0 323.613231240462 3 0 450.710777038317 30
"8" 1 265.751691496484 3 1 619.248145504392 90
"9" 0 260.046025751548 3 0 360.297563111514 83
"10" 1 329.98548449234 3 1 702.630230215542 27
"11" 1 238.92767139557 3 1 583.650478822062 90
"12" 0 299.671629064888 3 1 530.986638487675 49
"13" 0 334.676260428616 3 1 641.976802730291 101
"14" 0 438.097307555861 3 0 761.116354429527 123
"15" 1 216.219651323315 3 1 497.575446405793 63
"16" 0 309.130693678179 3 0 453.71142899901 76
"17" 1 323.034174813019 3 0 655.233172241573 130
"18" 1 346.77108111333 3 0 675.472182472236 117
"19" 1 344.729507015976 3 1 768.006152276547 62
"20" 1 435.831590744401 3 1 1005.76436036177 120
"21" 1 261.18226546873 3 0 456.68329008969 42
"22" 1 246.400225867424 3 1 591.33319617688 90
"23" 1 254.731394708273 3 0 480.594700010566 90
"24" 1 228.072840238001 3 0 382.867971182327 26
"25" 1 252.337134997743 3 1 584.583150184473 73
"26" 0 199.647253707364 3 1 357.006947106627 75
"27" 0 362.684545874657 3 0 584.45430300027 93
"28" 0 283.265711066065 3 0 401.862093557746 71
"29" 0 370.028266900964 3 0 595.716380155828 93
"30" 0 297.71870141147 3 0 455.033753477521 104
"1" 1 199.214444837085 4 0 405.636881692793 84
"2" 0 277.22655190903 4 0 438.763945331245 98
"3" 0 264.63033784751 4 0 405.64218231088 85
"4" 1 384.297432736137 4 1 929.787500399615 111
"5" 0 265.071477104682 4 1 573.400191664973 112
"6" 0 327.271683719425 4 1 684.211705089437 86
"7" 0 323.613231240462 4 0 481.904336612287 30
"8" 1 265.751691496484 4 1 681.007485924785 90
"9" 0 260.046025751548 4 0 385.357688104205 83
"10" 1 329.98548449234 4 1 770.630190186632 27
"11" 1 238.92767139557 4 1 623.842993888914 90
"12" 0 299.671629064888 4 1 587.758315134641 49
"13" 0 334.676260428616 4 1 709.847518073089 101
"14" 0 438.097307555861 4 0 786.382151897478 123
"15" 1 216.219651323315 4 1 582.842195492542 63
"16" 0 309.130693678179 4 0 487.042434082262 76
"17" 1 323.034174813019 4 0 697.516317449533 130
"18" 1 346.77108111333 4 0 723.767678311307 117
"19" 1 344.729507015976 4 1 852.821928801385 62
"20" 1 435.831590744401 4 1 1024.87614137569 120
"21" 1 261.18226546873 4 0 486.030338065039 42
"22" 1 246.400225867424 4 1 653.586841437148 90
"23" 1 254.731394708273 4 0 500.223283849463 90
"24" 1 228.072840238001 4 0 409.845796543053 26
"25" 1 252.337134997743 4 1 659.168795565259 73
"26" 0 199.647253707364 4 1 408.001982579342 75
"27" 0 362.684545874657 4 0 598.790451831336 93
"28" 0 283.265711066065 4 0 427.998994475344 71
"29" 0 370.028266900964 4 0 624.100686365042 93
"30" 0 297.71870141147 4 0 485.98855857545 104
